"Title","Author","Publisher","Published Date","Format","Pages","Series","Volume","Language","ISBN","Page Read","Item Url","Icon Path","Photo Path","Image Url","Summary","Location","Price","Genres","Rating","Added Date","Copy Index","Read","Started Reading Date","Finished Reading Date","Favorite","Comments","Tags","BookShelf","Settings"
"201 Principles of Software Development","Davis, Alan M.","McGraw-Hill Inc.,US","1995-04-30","Hardcover","256","","","English","9780070158405","","https://www.amazon.co.uk/dp/0070158401?tag=handylibita03-21&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/71B39MN4E1L._SL500_.gif","This text defines governing principles for software development, assumptions that work regardless of tools used, to keep software projects from costing too much, taking too long and disappointing users.","","40.75","Books Global Store","3.63","08/15/2023","","","","","","","","IT related","2.8.0.5;222;MM/DD/YYYY;YYYY-MM-DD;01/19/2024"
"30-Second Anatomy: The 50 Most Important Structures and Systems in the Human Body, Each Explained in Half a Minute","Finn, Gabrielle M.; Barbaro-Brown, Judith; Smith, Claire France","Ivy Press","2017-08-17","Paperback","160","","","English","9781782405139","","https://www.amazon.co.uk/dp/1782405135?tag=handylibita03-21&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/41D9BX66QUL._SL500_.jpg","30-Second Anatomy gets straight to the heart of the matter: how your body operates. Whether you are a student of medicine or biology, an artist, an athlete, or simply dying to know what your physician means when he mentions your plexus or your humerus, this is the quickest route to get under your own skin. Or, indeed, to understand exactly how your own skin works. Dissecting the detail of everything from your bones to your brain into 30-Second summaries, using no more than two pages, 300 words, and one picture, this is the hip way to understand the basic structures and systems that are you. Illustrated with gory graphics and supported by biographies of medical pioneers, time lines, and glossaries, it's the book of body parts that would have kept Burke and Hare in at nights.","","1.78","Books Global Store","4.08","09/18/2023","","","","","","","","Science"
"30-Second Astronomy: The 50 most mindblowing discoveries in astronomy, each explained in half a minute","Fressin, François; Rees, Martin J.","Icon Books","2018-05-03","Paperback","160","","","English","9781785783593","","https://www.amazon.co.uk/dp/1785783599?tag=handylibita03-21&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/41J0pSZs+DL._SL500_.jpg","How hot is Venus? Can you distinguish between a pulsar and a quasar? Is there a universe or a multiverse? Where do we fit into the infinitely grand scheme of things? How do we map the Cosmic Microwave Background? Most tantalizing of all: Is there anyone out there? The answers to these and many other far-out questions lie in your hands. Everyone's gazing at the heavens, but a voyage through the star-studded contents of this book will blow your mind. Astronomy encapsulates the terrifying hugeness of the cosmos into bite-size particles that mere earthlings can understand: 50 incredible discoveries brought down to Earth using no more than two pages, 300 words, and a picture. This one small volume takes you on a cosmic tour, shedding light on the most awesome of objects and places, explaining some very big ideas, concepts, and discoveries, and presenting the scientists and observers who have done so much to crack Life, the Universe, and Everything. Welcome aboard.","","0.15","Books Global Store","4.30","09/18/2023","","","","","","","","Science"
"30-Second Physics: The 50 most fundamental concepts in physics, each explained in half a minute","Clegg, Brian","Ivy Press","2017-08-17","Paperback","160","","","English","9781782405146","","https://www.amazon.co.uk/dp/1782405143?tag=handylibita03-21&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/41AI3Mk3rPL._SL500_.jpg","The bestselling 30-Second series takes a revolutionary approach to learning about those subjects you feel you should really understand. Each title selects a popular topic and dissects it into the 50 most significant ideas at its heart. 30-Second Physics tackles the big ideas behind life as we know it, from electromagnetic waves that enable us to connect in an instant from opposite ends of the earth to the gravity that keeps our feet firmly on the ground. In a world where physics is an everyday essential and new quantum developments make headline news, you need to know your atoms from your anti-matter, and learn just enough to speak with fluidity about Fluid Dynamics and be certain about the Uncertainty Principle. Here is the fastest way to get up to speed with rocket science and the rest.","","9.66","Books Global Store","3.97","09/18/2023","","","","","","","","Science"
"30-Second Quantum Theory: The 50 most thought-provoking quantum concepts, each explained in half a minute","Clegg, Brian; Close, Frank; Clifford, Leon; Ball, Philip; Hebden, Sophie","Icon Books","2017-11-02","Paperback","160","","","English","9781785782916","","https://www.amazon.co.uk/dp/1785782916?tag=handylibita03-21&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/41XYnOFVeVL._SL500_.jpg","The bestselling 30-Second… series takes a revolutionary approach to learning about those subjects you feel you should really understand.

Each title selects a popular topic and dissects it into the 50 most significant ideas at its heart. Each idea, no matter how complex, is explained in 300 words and one picture, all digestible in 30 seconds.

30-Second Quantum Theory tackles a mindbendingly mysterious area of physics, introducing the 50 most significant quantum quandaries and ideas. In a world where the quantum physics of electronics is an everyday essential and new quantum developments make headline news, you will visit Parallel Worlds, ride Wave Theory, and learn just enough to talk with certainty about Uncertainty Theory and to untangle the mysteries of quantum entanglement.","","11.87","Books Global Store","3.81","09/18/2023","","","","","","","","Science"
"59 Seconds: Think a little, change a lot","Wiseman, Richard","Pan","2010-04-02","Paperback","368","","","English","9780330511605","","https://www.amazon.co.uk/dp/0330511602?tag=handylibita03-21&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/41tqCwyJLUL._SL500_.jpg","Whether you're looking to be more decisive in your life, find a new job or simply be happier, the chances are that this book has the 'magic bullet' you need.","","0.18","Kellogg's","3.79","09/18/2023","","","","","","","","Science"
"97 Things Every Programmer Should Know: Collective Wisdom from the Experts","Henney, Kevlin","O'Reilly Media, Inc.","2010-02-19","Paperback","256","","","eng","9780596809485","","https://www.goodreads.com/book/show/7003902-97-things-every-programmer-should-know","","","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328833164l/7003902._SX98_.jpg","Tap into the wisdom of experts to learn what every programmer should know, no matter what language you use. With the 97 short and extremely useful tips for programmers in this book, you'll expand your skills by adopting new approaches to old problems, learning appropriate best practices, and honing your craft through sound advice.

With contributions from some of the most experienced and respected practitioners in the industry--including Michael Feathers, Pete Goodliffe, Diomidis Spinellis, Cay Horstmann, Verity Stob, and many more--this book contains practical knowledge and principles that you can apply to all kinds of projects.

A few of the 97 things you should know:


""Code in the Language of the Domain"" by Dan North
""Write Tests for People"" by Gerard Meszaros
""Convenience Is Not an -ility"" by Gregor Hohpe
""Know Your IDE"" by Heinz Kabutz
""A Message to the Future"" by Linda Rising
""The Boy Scout Rule"" by Robert C. Martin (Uncle Bob)
""Beware the Share"" by Udi Dahan","","","Programming","3.64","08/15/2023","","","","","","","","IT related"
"97 Things Every Project Manager Should Know: Collective Wisdom from the Experts","Davis, Barbee","O′Reilly","2009-08-28","Paperback","250","","","English","9780596804169","","https://www.amazon.co.uk/dp/0596804164?tag=handylibita03-21&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51kAt9HLe+L._SL500_.jpg","If the projects you manage don't go as smoothly as you'd like, 97 Things Every Project Manager Should Know offers knowledge that's priceless, gained through years of trial and error. This illuminating book contains 97 short and extremely practical tips -- whether you're dealing with software or non-IT projects -- from some of the world's most experienced project managers and software developers. You'll learn how these professionals have dealt with everything from managing teams to handling project stakeholders to runaway meetings and more. While this book highlights software projects, its wise axioms contain project management principles applicable to projects of all types in any industry. You can read the book end to end or browse to find topics that are of particular relevance to you. 97 Things Every Project Manager Should Know is both a useful reference and a source of inspiration. Among the 97 practical tips: ""Clever Code Is Hard to Maintain...and Maintenance Is Everything"" -- David Wood, Partner, Zepheira ""Every Project Manager Is a Contract Administrator"" -- Fabio Teixeira de Melo, Planning Manager, Construtora Norberto Odebrecht ""Can Earned Value and Velocity Coexist on Reports?"" -- Barbee Davis, President, Davis Consulting ""How Do You Define 'Finished'""? -- Brian Sam-Bodden, author, software architect ""The Best People to Create the Estimates Are the Ones Who Do the Work"" -- Joe Zenevitch, Senior Project Manager, ThoughtWorks ""How to Spot a Good IT Developer"" -- James Graham, independent management consultant ""One Deliverable, One Person"" -- Alan Greenblatt, CEO, Sciova","","10.89","Books Global Store","3.20","08/15/2023","","","","","","","","IT related"
"97 Things Every Software Architect Should Know: Collective Wisdom from the Experts","Monson-Haefel, Richard; Monson-Haefel, Richard","O′Reilly","2009-02-20","Paperback","220","","","English","9780596522698","","https://www.amazon.co.uk/dp/059652269X?tag=handylibita03-21&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51f7zs-YlxL._SL500_.jpg","In this truly unique technical book, today's leading software architects present valuable principles on key development issues that go way beyond technology. More than four dozen architects -- including Neal Ford, Michael Nygard, and Bill de hOra -- offer advice for communicating with stakeholders, eliminating complexity, empowering developers, and many more practical lessons they've learned from years of experience. Among the 97 principles in this book, you'll find useful advice such as: Don't Put Your Resume Ahead of the Requirements (Nitin Borwankar) Chances Are, Your Biggest Problem Isn't Technical (Mark Ramm) Communication Is King; Clarity and Leadership, Its Humble Servants (Mark Richards) Simplicity Before Generality, Use Before Reuse (Kevlin Henney) For the End User, the Interface Is the System (Vinayak Hegde) It's Never Too Early to Think About Performance (Rebecca Parsons) To be successful as a software architect, you need to master both business and technology. This book tells you what top software architects think is important and how they approach a project. If you want to enhance your career, 97 Things Every Software Architect Should Know is essential reading.","","20.85","Books Global Store","3.62","08/15/2023","","","","","","","","IT related"
"A Brief History Of Time From The Big Bang To Black Holes","Hawking, Stephen; Sagan, Carl; Miller, Ron","Guild Publishing","1990","Hardcover","198","","","English","9780593015186","","https://www.amazon.co.uk/dp/B000FC907W?tag=handylibita03-21&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/41xSzP0zzEL._SL500_.jpg","Stephen Hawking is one of the world's leading cosmologists and is widely regarded as the most brilliant theoretical physicist since Einstein. Although he has been widely published within his specialized field, A Brief History of Time is the first work he has written for the non-mathematical layman. In it he explores the outer reaches of our knowledge of astrophysics and the nature of time and the universe. The result is a revelation: a book that not only serves as an introduction to today's most important theories on the cosmos but affords a unique opportunity to experience one of the most imaginative and influential thinkers of our age.

Confined to a wheelchair for the last twenty years by a motor-neurone disease, Professor Hawking is best known for his work on black holes. But here he turns his mind to the biggest question of all: the search for a unified theory that combines general relativity and quantum mechanics.

Always in the clearest, most accessible terms, Stephen Hawking reviews the great theories of the cosmos. From Galileo and Newton to Einstein and Poincaré, and then moves on into deepest space for the greatest intellectual adventure of all. Could time run backwards? Will a ""no boundary"" universe replace the big bang theory? What happens in a universe with eleven dimensions? These are just some of the questions considered with devastating lucidity and brilliance in A Brief History of Time, a work that is bound to become a classic of its kind.","","2.8","Cosmology","4.21","09/18/2023","","","","","","","","Science"
"A pocket companion to Pmi's Pmbok® Guide (updated version): Based on PMBOK® Guide Fourth edition (PMI series)","Snijders, Paul; Wuttke, Thomas; Zanduis, Anton","Van Haren Publishing","2012-08-03","Paperback","156","","","English","9789087536978","","https://www.amazon.co.uk/dp/9087536976?tag=handylibita03-21&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51VjxYpTSBL._SL500_.jpg","This pocket guide is based on the PMBOK Guide Fourth Edition. It contains a summary of the PMBOK Guide, to provide a quick introduction as well as a structured overview of this framework for project management. This pocket guide deals with the key issues and themes within project management and the PMBOK Guide as follows: A short overview of the activities of PMI Inc., the organization and its standards: PMBOK Guide, Standard for Project Portfolio Management, Standard for Program Management, and other standards.

The essentials of the Project Lifecycle and Organization.

What are the key project management knowledge areas and processes?

Main target Group for this pocket guide is anyone with an interest in understanding the method in the PMBOK Guide framework or a systematic approach for project management. The book is also very useful for members of a project management team in a project environment using the PMBOK Guide as a shared reference.","","17.36","Books Global Store","4.08","08/15/2023","","","","","","","","IT related"
